Ontology ID	Template	Columns Found	Status	Report Generated
GENEPIO:0001619	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GENEPIO:0001620	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GENEPIO:0001668	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GENEPIO:0001618	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GENEPIO:0001810	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00006882	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002953	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00000563	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00003957	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002948	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00001095	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00009159	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00000462	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00006883	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002928	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00004094	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00004025	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00005901	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00000463	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002942	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00004941	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002733	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00005281	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00007117	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00003750	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00001251	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00005810	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00006886	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002938	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002934	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00000904	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00001264	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00003920	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002511	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00025355	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00006887	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00001097	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00001453	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002828	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00003961	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00003901	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002950	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00000905	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00001090	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00006888	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00001093	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002560	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00001227	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00003986	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00001089	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00000586	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002825	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002845	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00005915	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00005838	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00009721	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002929	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00005820	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00053798	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00005917	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002901	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00000906	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00002719	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00003762	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00012582	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
GAZ:00004006	AMBR		Missing in Menu/Text	2026-03-17 13:28:06
