class_name	slot_group	slot_uri	title	name	range	range_2	identifier	multivalued	required	recommended	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	EXPORT_BIOSAMPLE	EXPORT_ENA
		GENEPIO:0100453	Strain and isolation information																
	Strain and isolation information	GENEPIO:0001191	organism	organism	OrganismMenu	null value menu		TRUE	TRUE						Taxonomic name of the organism.	Put the genus and species (and subspecies if applicable) of the bacteria, if known. The standardized term can be sourced from this look-up service: https://www.ebi.ac.uk/ols/ontologies/ncbitaxon. Note: If taxonomic identification was performed using metagenomic approaches, multiple organisms may be included. There is no need to list organisms detected as the result of noise in the data (only a few reads present). Only include organism names that you are confident are present. Also include the taxonomic mapping software and reference database(s) used.	Salmonella enterica subsp. enterica [NCBITaxon:59201]	organism	species
		GENEPIO:0100477	Public repository information																
	Public repository information	GENEPIO:0001139	biosample_accession	biosample_accession	WhitespaceMinimizedString										The identifier assigned to a BioSample in INSDC archives.	Store the accession returned from the BioSample submission. NCBI BioSamples will have the prefix SAMN, whileEMBL- EBI BioSamples will have the prefix SAMEA.	SAMN14180202	bisample_accession	bioSample_ID
		GENEPIO:0100479	Antimicrobial resistance																
	Antimicrobial resistance	GENEPIO:0100521	antimicrobial_agent_name	antimicrobial_agent_name														antibiotic	antibiotic_name
	Antimicrobial resistance	GENEPIO:0100525	AMR_phenotype	amr_phenotype	AmrPhenotypeMenu	null value menu				TRUE								resistance_phenotype	resistance_phenotype
	Antimicrobial resistance	GENEPIO:0100522	AMR_measurement	amr_measurement	WhitespaceMinimizedString	null value menu			TRUE									measurement	measurement
	Antimicrobial resistance	GENEPIO:0100523	AMR_measurement_units	amr_measurement_units	AmrMeasurementUnitsMenu	null value menu			TRUE									measurement_units	measurement_units
	Antimicrobial resistance	GENEPIO:0100524	AMR_measurement_sign	amr_measurement_sign	AmrMeasurementSignMenu	null value menu			TRUE									measurement_sign	measurement_sign
	Antimicrobial resistance	GENEPIO:0100526	AMR_laboratory_typing_method	amr_laboratory_typing_method	AmrLaboratoryTypingMethodMenu	null value menu													
	Antimicrobial resistance	GENEPIO:0100527	AMR_laboratory_typing_platform	amr_laboratory_typing_platform	AmrLaboratoryTypingPlatformMenu	null value menu												laboratory_typing_platform	platform
	Antimicrobial resistance	GENEPIO:0100528	AMR_laboratory_typing_platform_version 	amr_laboratory_typing_platform_version_	WhitespaceMinimizedString														
	Antimicrobial resistance	GENEPIO:0100529	AMR_vendor_name	amr_vendor_name														vendor	
	Antimicrobial resistance	GENEPIO:0100511	AMR_testing_by	amr_testing_by	AmrTestingByMenu	null value menu			TRUE						The name of the organization that performed the antimicrobial resistance testing.	Provide the name of the agency, organization or institution that performed the AMR testing, in full (avoid abbreviations). If the information is unknown or cannot be provided, leave blank or provide a null value.	Canadian Food Inspection Agency (CFIA) [GENEPIO:0100552]		
	Antimicrobial resistance	GENEPIO:0100512	AMR_testing_by_laboratory_name	amr_testing_by_laboratory_name	WhitespaceMinimizedString										The name of the lab within the organization that performed the antimicrobial resistance testing.	Provide the name of the specific laboratory that performed the AMR testing (avoid abbreviations). If the information is unknown or cannot be provided, leave blank or provide a null value.	Topp Lab		
	Antimicrobial resistance	GENEPIO:0100513	AMR_testing_by_contact_name	amr_testing_by_contact_name	WhitespaceMinimizedString	null value menu			TRUE						The name of the individual or the individual's role in the organization that performed the antimicrobial resistance testing.	Provide the name of an individual or their job title. As personnel turnover may render the contact's name obsolete, it is more preferable to provide a job title for ensuring accuracy of information and institutional memory. If the information is unknown or cannot be provided, leave blank or provide a null value.	Enterics Lab Manager		
	Antimicrobial resistance	GENEPIO:0100514	AMR_testing_by_contact_email	amr_testing_by_contact_email	WhitespaceMinimizedString	null value menu			TRUE						The email of the individual or the individual's role in the organization that performed the antimicrobial resistance testing.	Provide the email associated with the listed contact. As personnel turnover may render an individual's email obsolete, it is more preferable to provide an address for a position or lab, to ensure accuracy of information and institutional memory. If the information is unknown or cannot be provided, leave blank or provide a null value.	johnnyblogs@lab.ca		
	Antimicrobial resistance	GENEPIO:0100515	AMR_testing_date	amr_testing_date	date										The date the antimicrobial resistance testing was performed.	Provide the date according to the ISO 8601 standard "YYYY-MM-DD", "YYYY-MM" or "YYYY".	2022-04-03		
	Antimicrobial resistance	GENEPIO:0100530	AMR_testing_standard 	amr_testing_standard_	AmrTestingStandardMenu					TRUE								testing_standard	ast_standard
	Antimicrobial resistance	GENEPIO:0100531	AMR_testing_standard_version 	amr_testing_standard_version_	WhitespaceMinimizedString														
	Antimicrobial resistance	GENEPIO:0100520	AMR_testing_standard_details 	amr_testing_standard_details_	WhitespaceMinimizedString														
	Antimicrobial resistance	GENEPIO:0100516	AMR_testing_susceptible_breakpoint 	amr_testing_susceptible_breakpoint_	WhitespaceMinimizedString														
	Antimicrobial resistance	GENEPIO:0100517	AMR_testing_intermediate_breakpoint 	amr_testing_intermediate_breakpoint_	WhitespaceMinimizedString														
	Antimicrobial resistance	GENEPIO:0100518	AMR_testing_resistant_breakpoint 	amr_testing_resistant_breakpoint_	WhitespaceMinimizedString														
