title	name	menu_1	menu_2	menu_3	menu_4	menu_5	meaning	description	EXPORT_GISAID	EXPORT_CNPHI	EXPORT_NML_LIMS	EXPORT_BIOSAMPLE	EXPORT_VirusSeq_Portal	
														
null value menu	NullValueMenu	Not Applicable					GENEPIO:0001619							
		Missing					GENEPIO:0001618							
		Not Collected					GENEPIO:0001620							
		Not Provided					GENEPIO:0001668							
		Restricted Access					GENEPIO:0001810							
														
geo_loc_name (state/province/territory) menu	GeoLocNameStateProvinceTerritoryMenu	Alberta					GAZ:00002566							
		British Columbia					GAZ:00002562							
		Manitoba					GAZ:00002571							
		New Brunswick					GAZ:00002570							
		Newfoundland and Labrador					GAZ:00002567							
		Northwest Territories					GAZ:00002575							
		Nova Scotia					GAZ:00002565							
		Nunavut					GAZ:00002574							
		Ontario					GAZ:00002563							
		Prince Edward Island					GAZ:00002572							
		Quebec					GAZ:00002569							
		Saskatchewan					GAZ:00002564							
		Yukon					GAZ:00002576							
														
														
host age unit menu	HostAgeUnitMenu	month					UO:0000035							
		year					UO:0000036							
														
														
sample collection date precision menu	SampleCollectionDatePrecisionMenu	year					UO:0000036							
		month					UO:0000035							
		day					UO:0000033							
														
														
NML submitted specimen type menu	NMLSubmittedSpecimenTypeMenu	Swab 					OBI:0002600							
		RNA					OBI:0000880							
		mRNA (cDNA)					OBI:0002754							
		Nucleic acid					OBI:0001010							
		Not Applicable					GENEPIO:0001619							
														
Related specimen relationship type menu	RelatedSpecimenRelationshipTypeMenu		Acute				HP:0011009	Sudden appearance of disease manifestations over a short period of time. The word acute is applied to different time scales depending on the disease or manifestation and does not have an exact definition in minutes, hours, or days.						Mpox
			Convalescent					A specimen collected from an individual during the recovery phase following the resolution of acute symptoms of a disease, often used to assess immune response or recovery progression.						
			Familial					A specimen obtained from a relative of an individual, often used in studies examining genetic or hereditary factors, or familial transmission of conditions.						
			Follow-up				EFO:0009642	The process by which information about the health status of an individual is obtained after a study has officially closed; an activity that continues something that has already begun or that repeats something that has already been done.						
				Reinfection testing				A specimen collected to determine if an individual has been re-exposed to and reinfected by a pathogen after an initial infection and recovery.						
			Previously Submitted					A specimen that has been previously provided or used in a study or testing but is being considered for re-analysis or additional testing.						
			Sequencing/bioinformatics methods development/validation					A specimen used specifically for the purpose of developing, testing, or validating sequencing or bioinformatics methodologies.						
			Specimen sampling methods testing					A specimen used to test, refine, or validate methods and techniques for collecting and processing samples.						
														
														
anatomical material menu	AnatomicalMaterialMenu	Blood					UBERON:0000178							
		Fluid					UBERON:0006314							
			Saliva				UBERON:0001836							
			Fluid (cerebrospinal (CSF))				UBERON:0001359							
			Fluid (pericardial)				UBERON:0002409							
			Fluid (pleural)				UBERON:0001087							
			Fluid (vaginal)				UBERON:0036243							
			Fluid (amniotic)				UBERON:0000173							
		Tissue					UBERON:0000479							
														
														
anatomical part menu	AnatomicalPartMenu	Anus					UBERON:0001245							
		Buccal mucosa					UBERON:0006956							
		Duodenum					UBERON:0002114							
		Eye					UBERON:0000970							
		Intestine					UBERON:0000160							
		Lower respiratory tract					UBERON:0001558							
			Bronchus				UBERON:0002185							
			Lung				UBERON:0002048							
				Bronchiole			UBERON:0002186							
				Alveolar sac			UBERON:0002169							
			Pleural sac				UBERON:0009778							
				Pleural cavity			UBERON:0002402							
			Trachea				UBERON:0003126							
		Rectum					UBERON:0001052							
		Skin					UBERON:0001003							
		Stomach					UBERON:0000945							
		Upper respiratory tract					UBERON:0001557							
			Anterior Nares				UBERON:2001427							
			Esophagus				UBERON:0001043							
			Ethmoid sinus				UBERON:0002453							
			Nasal Cavity				UBERON:0001707							
				Middle Nasal Turbinate			UBERON:0005921							
				Inferior Nasal Turbinate			UBERON:0005922							
			Nasopharynx (NP)				UBERON:0001728							
			Oropharynx (OP)				UBERON:0001729							
														
														
body product menu	BodyProductMenu	Breast Milk					UBERON:0001913							
		Feces					UBERON:0001988							
		Fluid (seminal)					UBERON:0006530							
		Mucus					UBERON:0000912							
			Sputum				UBERON:0007311							
		Sweat					UBERON:0001089							
		Tear					UBERON:0001827							
		Urine					UBERON:0001088							
														
														
environmental material menu	EnvironmentalMaterialMenu	Air vent					ENVO:03501208							
		Banknote					ENVO:00003896							
		Bed rail					ENVO:03501209							
		Building floor					ENVO:01000486							
		Cloth					ENVO:02000058							
		Control panel					ENVO:03501210							
		Door  					ENVO:03501220							
		Door handle					ENVO:03501211							
		Face mask					OBI:0002787							
		Face shield					OBI:0002791							
